[2023-09-16T15:54:01+0200] [ALPM] removed gnome-contacts (44.0-1)
[2023-09-16T15:54:01+0200] [ALPM] removed gnome-online-accounts (3.48.0-2)
[2023-09-16T15:54:01+0200] [ALPM] removed librest (0.9.1-2)
[2023-09-16T15:54:01+0200] [ALPM] removed folks (0.15.6-1)
[2023-09-16T15:54:01+0200] [ALPM] removed gnome-console (44.4-1)
[2023-09-16T15:54:01+0200] [ALPM] removed vte4 (0.72.2-2)
[2023-09-16T15:54:01+0200] [ALPM] removed vte-common (0.72.2-2)
[2023-09-16T15:54:01+0200] [ALPM] removed libgtop (2.41.1-1)
[2023-09-16T15:54:01+0200] [ALPM] removed gnome-connections (44.1-2)
[2023-09-16T15:54:01+0200] [ALPM] removed gtk-vnc (1.3.1-1)
[2023-09-16T15:54:01+0200] [ALPM] removed freerdp (2:2.11.1-1)
[2023-09-16T15:54:01+0200] [ALPM] removed gnome-color-manager (3.36.0+r42+g90481514-1)
[2023-09-16T15:54:01+0200] [ALPM] removed gnome-clocks (44.0-1)
[2023-09-16T15:54:01+0200] [ALPM] removed gsound (1.0.3-3)
[2023-09-16T15:54:01+0200] [ALPM] removed gnome-characters (44.0-1)
[2023-09-16T15:54:01+0200] [ALPM] removed noto-fonts-emoji (20220920-1)
[2023-09-16T15:54:01+0200] [ALPM] removed gnome-calendar (44.1-1)
[2023-09-16T15:54:01+0200] [ALPM] removed libedataserverui4 (3.48.4-2)
[2023-09-16T15:54:01+0200] [ALPM] removed evolution-data-server (3.48.4-2)
[2023-09-16T15:54:01+0200] [ALPM] removed libphonenumber (1:8.13.19-1)
[2023-09-16T15:54:01+0200] [ALPM] removed protobuf (24.2-1)
[2023-09-16T15:54:01+0200] [ALPM] removed libical (3.0.16-5)
[2023-09-16T15:54:01+0200] [ALPM] removed webkit2gtk-4.1 (2.40.5-2)
[2023-09-16T15:54:01+0200] [ALPM] removed libgoa (3.48.0-2)
[2023-09-16T15:54:01+0200] [ALPM] removed gnome-calculator (44.0-1)
[2023-09-16T15:54:01+0200] [ALPM] removed libmpc (1.3.1-1)
[2023-09-16T15:54:01+0200] [ALPM] removed libgee (0.20.6-1)
[2023-09-16T15:54:01+0200] [ALPM] removed gtksourceview5 (5.8.0-1)
[2023-09-16T15:54:01+0200] [ALPM] removed gnome-backgrounds (44.0-1)
[2023-09-16T15:54:01+0200] [ALPM] warning: /etc/gdm/custom.conf saved as /etc/gdm/custom.conf.pacsave
[2023-09-16T15:54:01+0200] [ALPM] removed gdm (44.1-1)
[2023-09-16T15:54:01+0200] [ALPM] removed xorg-xrdb (1.2.2-1)
[2023-09-16T15:54:01+0200] [ALPM] removed xorg-xhost (1.0.9-1)
[2023-09-16T15:54:01+0200] [ALPM] removed gnome-shell (1:44.4-1)
[2023-09-16T15:54:01+0200] [ALPM] removed unzip (6.0-19)
[2023-09-16T15:54:01+0200] [ALPM] removed mutter (44.4-1)
[2023-09-16T15:54:01+0200] [ALPM] removed xorg-xwayland (23.2.0-1)
[2023-09-16T15:54:01+0200] [ALPM] removed startup-notification (0.12-8)
[2023-09-16T15:54:01+0200] [ALPM] removed iio-sensor-proxy (3.5-1)
[2023-09-16T15:54:01+0200] [ALPM] removed colord (1.4.6-1)
[2023-09-16T15:54:01+0200] [ALPM] removed libgusb (0.4.6-1)
[2023-09-16T15:54:01+0200] [ALPM] removed gnome-desktop-4 (1:44.0-1)
[2023-09-16T15:54:01+0200] [ALPM] removed gnome-autoar (0.4.4-1)
[2023-09-16T15:54:01+0200] [ALPM] removed libnma-gtk4 (1.10.6-2)
